Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
2020-04,2020,4,Principado de Asturias,T.FRUTAS FRESCAS,12606.89,21484.58,1.7,98.63,12.31,20.98
2020-04,2020,4,Illes Balears,T.FRUTAS FRESCAS,11506.63,20772.87,1.81,99.12,11.26,20.32
2020-04,2020,4,Canarias,T.FRUTAS FRESCAS,20091.57,35356.67,1.76,98.28,9.37,16.48
2020-04,2020,4,Cantabria,T.FRUTAS FRESCAS,5141.57,8839.45,1.72,99.75,9.57,16.45
2020-04,2020,4,Castilla-La Mancha,T.FRUTAS FRESCAS,16950.53,28118.09,1.66,98.23,8.48,14.06
2020-04,2020,4,Castilla y León,T.FRUTAS FRESCAS,24676.78,40405.43,1.64,97.08,10.76,17.63
2020-04,2020,4,Cataluña\/Catalunya,T.FRUTAS FRESCAS,71869.97,134417.36,1.87,97.96,10.4,19.46
2020-04,2020,4,Extremadura,T.FRUTAS FRESCAS,9514.63,15384.27,1.62,97.4,8.49,13.72
2020-04,2020,4,Galicia,T.FRUTAS FRESCAS,28811.96,53152.71,1.84,98.94,11.1,20.47
2020-04,2020,4,La Rioja,T.FRUTAS FRESCAS,2825.64,4930.24,1.74,98.51,9.21,16.06
2020-04,2020,4,Comunidad de Madrid,T.FRUTAS FRESCAS,64824.7,117787.65,1.82,98.36,10.65,19.35
2020-04,2020,4,Región de Murcia,T.FRUTAS FRESCAS,13157.22,22261.14,1.69,97.64,9.48,16.03
2020-04,2020,4,Comunidad Foral de Navarra,T.FRUTAS FRESCAS,6285.4,11108.73,1.77,96.87,10.94,19.34
